"Ключевое слово";"Результатов в Google";"Слов";"Символов";"Частотность Весь мир";"""!Частотность !Весь !мир""";"Количество найденных доменов в Google по слову";"Средняя позиция в Google";"Позиция в Google avrora-trans.com";"Позиция в Google autotransgarant.com";"Позиция в Google della.ua"
"попутный груз";602000;2;13;20176;950;3;21;6;36;21
"перевозки 20 тонн";5790000;3;17;1474;20;3;13;7;5;29
"сколько стоит грузоперевозки";4420000;3;28;3685;26;3;19;9;23;25
"стоимость фуры 20 тонн за 1 км";358000;7;30;101;30;3;7;13;2;6
"найти транспорт для перевозки груза";4620000;5;35;143;24;3;23;21;46;3
"найти машину для перевозки груза";1360000;5;32;1132;27;3;30;48;7;35
"стоимость фуры 20 тонн";381000;4;22;590;21;3;7;11;2;9
"грузоперевозки 20 тонн";1790000;3;22;1635;78;3;12;6;7;24
"найти груз для перевозки на газель бесплатно до 2 тонн";288000;10;54;37;28;3;18;23;27;4
"грузоперевозки цена за 1 км газель";941000;6;34;392;50;3;27;6;37;40
"грузоперевозки стоимость за 1 км";10800000;5;32;667;27;3;14;5;32;6
"грузоперевозки цена за 1 км";3780000;5;27;873;87;3;15;4;34;7
"стоимость перевозки 1 тонны груза на 1 км";977000;8;41;183;58;3;17;5;39;7
"сколько стоит перевозка";3060000;3;23;11090;21;3;14;8;28;6
"грузовые автоперевозки";3600000;2;22;825;35;3;15;9;26;11
"фура 20 тонн";688000;3;12;9150;273;3;26;26;5;48
"грузоперевозки до 1 тонны";923000;4;25;515;18;3;32;26;22;48
"поиск грузовой машины для перевозки груза";726000;6;41;6;6;3;23;35;29;6
"грузоперевозки 5т";750000;2;17;266;8;3;25;8;44;23
"как найти попутный грузовой транспорт";280000;5;37;33;13;3;14;30;6;8
"найти попутный транспорт для перевозки груза";330000;6;44;45;8;3;13;23;7;9
"стоимость 1 км перевозки груза";2080000;5;30;603;9;3;14;5;32;6
"стоимость одного километра грузоперевозки на фуре 20 тонн";175000;8;57;8;7;3;8;12;7;6
"грузоперевозки 5 тонник цена за километр";111000;6;40;30;14;3;17;13;24;16
"стоимость разрешения на перевозку негабаритных грузов";823000;6;53;33;11;3;22;5;36;26
